date,generator_id,estimator_id,currency,signal_count,penalty_factor,base_confidence,aggregate_confidence
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,6,1.0,0.8,0.8
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CAD,1,0.4307,-0.9,-0.3876
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,4,1.0,0.35,0.35
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,2,0.6826,0.9,0.6143
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,4,1.0,0.9,0.9
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,10,1.0,-0.01,-0.01
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,21,1.0,-0.2595,-0.2595
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,16,1.0,-0.1,-0.1
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,GBP,5,1.0,-0.87,-0.87
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,GBP,4,1.0,-0.8,-0.8
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,JPY,5,1.0,-0.48,-0.48
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,JPY,5,1.0,-0.16,-0.16
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,MXN,1,0.4307,-0.9,-0.3876
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,SEK,3,0.8614,-0.3,-0.2584
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,SEK,3,0.8614,0.2,0.1723
2026-02-28,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,USD,32,1.0,-0.3866,-0.3866
2026-02-28,llm-sentiment-v1-haiku,llm-horizon-v1-default,USD,48,1.0,-0.6104,-0.6104
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,AUD,9,1.0,0.0667,0.0667
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,6,1.0,0.8,0.8
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CAD,1,0.4307,-0.9,-0.3876
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,4,1.0,0.35,0.35
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,2,0.6826,0.9,0.6143
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,4,1.0,0.9,0.9
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,9,1.0,-0.0889,-0.0889
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,20,1.0,-0.2275,-0.2275
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,14,1.0,-0.1143,-0.1143
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,GBP,5,1.0,-0.87,-0.87
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,GBP,4,1.0,-0.8,-0.8
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,JPY,4,1.0,-0.375,-0.375
