date,trader_id,buy_currency,sell_currency,buy_signal,sell_signal,trade_signal
2026-03-06,combinator-standard,CNY,GBP,0.1961,-0.238,0.217
2026-03-06,combinator-standard,CAD,MXN,0.3354,-0.0813,0.2084
2026-03-06,combinator-standard,CAD,AUD,0.3354,-0.0339,0.1846
2026-03-06,combinator-standard,USD,MXN,0.2814,-0.0813,0.1814
2026-03-06,combinator-standard,NOK,MXN,0.2667,-0.0813,0.174
2026-03-06,combinator-standard,EUR,CHF,0.0324,-0.2867,0.1595
2026-03-06,combinator-standard,USD,AUD,0.2814,-0.0339,0.1576
2026-03-06,combinator-standard,JPY,MXN,0.2324,-0.0813,0.1569
2026-03-06,combinator-standard,NOK,AUD,0.2667,-0.0339,0.1503
2026-03-06,combinator-standard,EUR,SEK,0.0324,-0.2636,0.148
2026-03-06,combinator-standard,CNY,MXN,0.1961,-0.0813,0.1387
2026-03-06,combinator-standard,EUR,GBP,0.0324,-0.238,0.1352
2026-03-06,combinator-standard,JPY,AUD,0.2324,-0.0339,0.1332
2026-03-06,combinator-standard,CNY,AUD,0.1961,-0.0339,0.115
2026-03-06,combinator-standard,EUR,MXN,0.0324,-0.0813,0.0569
2026-03-06,combinator-standard,EUR,AUD,0.0324,-0.0339,0.0331
2026-03-06,haiku-only,CAD,SEK,0.4483,-0.3536,0.401
2026-03-06,haiku-only,CAD,GBP,0.4483,-0.332,0.3901
2026-03-06,haiku-only,CAD,CHF,0.4483,-0.3175,0.3829
2026-03-06,haiku-only,USD,SEK,0.3858,-0.3536,0.3697
2026-03-06,haiku-only,JPY,SEK,0.384,-0.3536,0.3688
2026-03-06,haiku-only,USD,GBP,0.3858,-0.332,0.3589
2026-03-06,haiku-only,JPY,GBP,0.384,-0.332,0.358
2026-03-06,haiku-only,NOK,SEK,0.35,-0.3536,0.3518
2026-03-06,haiku-only,USD,CHF,0.3858,-0.3175,0.3517
2026-03-06,haiku-only,JPY,CHF,0.384,-0.3175,0.3508
2026-03-06,haiku-only,NOK,GBP,0.35,-0.332,0.341
2026-03-06,haiku-only,NOK,CHF,0.35,-0.3175,0.3337
2026-03-06,haiku-only,CNY,SEK,0.2541,-0.3536,0.3039
2026-03-06,haiku-only,CNY,GBP,0.2541,-0.332,0.2931
2026-03-06,haiku-only,CNY,CHF,0.2541,-0.3175,0.2858
2026-03-06,haiku-only,CAD,AUD,0.4483,-0.0958,0.2721
2026-03-06,haiku-only,CAD,MXN,0.4483,-0.0707,0.2595
2026-03-06,haiku-only,USD,AUD,0.3858,-0.0958,0.2408
2026-03-06,haiku-only,JPY,AUD,0.384,-0.0958,0.2399
2026-03-06,haiku-only,USD,MXN,0.3858,-0.0707,0.2282
2026-03-06,haiku-only,JPY,MXN,0.384,-0.0707,0.2273
2026-03-06,haiku-only,NOK,AUD,0.35,-0.0958,0.2229
2026-03-06,haiku-only,NOK,MXN,0.35,-0.0707,0.2103
2026-03-06,haiku-only,EUR,SEK,0.053,-0.3536,0.2033
2026-03-06,haiku-only,EUR,GBP,0.053,-0.332,0.1925
2026-03-06,haiku-only,EUR,CHF,0.053,-0.3175,0.1852
2026-03-06,haiku-only,CNY,AUD,0.2541,-0.0958,0.1749
2026-03-06,haiku-only,CNY,MXN,0.2541,-0.0707,0.1624
2026-03-06,haiku-only,EUR,AUD,0.053,-0.0958,0.0744
2026-03-06,haiku-only,EUR,MXN,0.053,-0.0707,0.0619
2026-03-07,combinator-standard,NOK,GBP,0.35,-0.332,0.341
2026-03-07,combinator-standard,CAD,GBP,0.3354,-0.332,0.3337
2026-03-07,combinator-standard,NOK,CHF,0.35,-0.2867,0.3183
2026-03-07,combinator-standard,CAD,CHF,0.3354,-0.2867,0.311
2026-03-07,combinator-standard,NOK,SEK,0.35,-0.2636,0.3068
2026-03-07,combinator-standard,CAD,SEK,0.3354,-0.2636,0.2995
2026-03-07,combinator-standard,CNY,GBP,0.2385,-0.332,0.2853
2026-03-07,combinator-standard,JPY,GBP,0.2324,-0.332,0.2822
2026-03-07,combinator-standard,USD,GBP,0.2222,-0.332,0.2771
2026-03-07,combinator-standard,CNY,CHF,0.2385,-0.2867,0.2626
2026-03-07,combinator-standard,JPY,CHF,0.2324,-0.2867,0.2596
2026-03-07,combinator-standard,USD,CHF,0.2222,-0.2867,0.2545
2026-03-07,combinator-standard,CNY,SEK,0.2385,-0.2636,0.2511
2026-03-07,combinator-standard,JPY,SEK,0.2324,-0.2636,0.248
2026-03-07,combinator-standard,USD,SEK,0.2222,-0.2636,0.2429
2026-03-07,combinator-standard,NOK,AUD,0.35,-0.0828,0.2164
2026-03-07,combinator-standard,NOK,MXN,0.35,-0.0805,0.2152
2026-03-07,combinator-standard,CAD,AUD,0.3354,-0.0828,0.2091
2026-03-07,combinator-standard,CAD,MXN,0.3354,-0.0805,0.2079
2026-03-07,combinator-standard,EUR,GBP,0.0691,-0.332,0.2006
2026-03-07,combinator-standard,EUR,CHF,0.0691,-0.2867,0.1779
2026-03-07,combinator-standard,EUR,SEK,0.0691,-0.2636,0.1664
2026-03-07,combinator-standard,CNY,AUD,0.2385,-0.0828,0.1607
2026-03-07,combinator-standard,CNY,MXN,0.2385,-0.0805,0.1595
2026-03-07,combinator-standard,JPY,AUD,0.2324,-0.0828,0.1576
2026-03-07,combinator-standard,JPY,MXN,0.2324,-0.0805,0.1565
2026-03-07,combinator-standard,USD,AUD,0.2222,-0.0828,0.1525
2026-03-07,combinator-standard,USD,MXN,0.2222,-0.0805,0.1514
2026-03-07,combinator-standard,EUR,AUD,0.0691,-0.0828,0.076
2026-03-07,combinator-standard,EUR,MXN,0.0691,-0.0805,0.0748
2026-03-07,haiku-only,CAD,SEK,0.4483,-0.3536,0.401
2026-03-07,haiku-only,CAD,GBP,0.4483,-0.332,0.3901
2026-03-07,haiku-only,CAD,CHF,0.4483,-0.3175,0.3829
2026-03-07,haiku-only,JPY,SEK,0.384,-0.3536,0.3688
2026-03-07,haiku-only,JPY,GBP,0.384,-0.332,0.358
2026-03-07,haiku-only,NOK,SEK,0.35,-0.3536,0.3518
2026-03-07,haiku-only,JPY,CHF,0.384,-0.3175,0.3508
2026-03-07,haiku-only,NOK,GBP,0.35,-0.332,0.341
2026-03-07,haiku-only,NOK,CHF,0.35,-0.3175,0.3337
2026-03-07,haiku-only,CNY,SEK,0.3104,-0.3536,0.332
2026-03-07,haiku-only,USD,SEK,0.3052,-0.3536,0.3294
2026-03-07,haiku-only,CNY,GBP,0.3104,-0.332,0.3212
2026-03-07,haiku-only,USD,GBP,0.3052,-0.332,0.3186
2026-03-07,haiku-only,CNY,CHF,0.3104,-0.3175,0.314
2026-03-07,haiku-only,USD,CHF,0.3052,-0.3175,0.3114
2026-03-07,haiku-only,CAD,AUD,0.4483,-0.1682,0.3082
2026-03-07,haiku-only,JPY,AUD,0.384,-0.1682,0.2761
2026-03-07,haiku-only,CAD,MXN,0.4483,-0.0707,0.2595
2026-03-07,haiku-only,NOK,AUD,0.35,-0.1682,0.2591
2026-03-07,haiku-only,CNY,AUD,0.3104,-0.1682,0.2393
2026-03-07,haiku-only,USD,AUD,0.3052,-0.1682,0.2367
2026-03-07,haiku-only,JPY,MXN,0.384,-0.0707,0.2273
2026-03-07,haiku-only,EUR,SEK,0.0863,-0.3536,0.22
2026-03-07,haiku-only,NOK,MXN,0.35,-0.0707,0.2103
2026-03-07,haiku-only,EUR,GBP,0.0863,-0.332,0.2092
2026-03-07,haiku-only,EUR,CHF,0.0863,-0.3175,0.2019
2026-03-07,haiku-only,CNY,MXN,0.3104,-0.0707,0.1905
2026-03-07,haiku-only,USD,MXN,0.3052,-0.0707,0.188
2026-03-07,haiku-only,EUR,AUD,0.0863,-0.1682,0.1273
2026-03-07,haiku-only,EUR,MXN,0.0863,-0.0707,0.0785
2026-03-08,combinator-standard,NOK,CHF,0.35,-0.279,0.3145
2026-03-08,combinator-standard,NOK,MXN,0.35,-0.2667,0.3083
2026-03-08,combinator-standard,NOK,SEK,0.35,-0.2636,0.3068
2026-03-08,combinator-standard,CAD,CHF,0.2983,-0.279,0.2887
2026-03-08,combinator-standard,CAD,MXN,0.2983,-0.2667,0.2825
2026-03-08,combinator-standard,CAD,SEK,0.2983,-0.2636,0.281
2026-03-08,combinator-standard,CNY,CHF,0.2573,-0.279,0.2682
2026-03-08,combinator-standard,JPY,CHF,0.2566,-0.279,0.2678
2026-03-08,combinator-standard,CNY,MXN,0.2573,-0.2667,0.262
2026-03-08,combinator-standard,JPY,MXN,0.2566,-0.2667,0.2616
2026-03-08,combinator-standard,CNY,SEK,0.2573,-0.2636,0.2605
2026-03-08,combinator-standard,JPY,SEK,0.2566,-0.2636,0.2601
2026-03-08,combinator-standard,NOK,GBP,0.35,-0.1591,0.2545
2026-03-08,combinator-standard,USD,CHF,0.2125,-0.279,0.2457
2026-03-08,combinator-standard,USD,MXN,0.2125,-0.2667,0.2396
2026-03-08,combinator-standard,USD,SEK,0.2125,-0.2636,0.2381
2026-03-08,combinator-standard,CAD,GBP,0.2983,-0.1591,0.2287
2026-03-08,combinator-standard,NOK,AUD,0.35,-0.0886,0.2193
2026-03-08,combinator-standard,CNY,GBP,0.2573,-0.1591,0.2082
2026-03-08,combinator-standard,JPY,GBP,0.2566,-0.1591,0.2078
2026-03-08,combinator-standard,CAD,AUD,0.2983,-0.0886,0.1935
2026-03-08,combinator-standard,USD,GBP,0.2125,-0.1591,0.1858
2026-03-08,combinator-standard,CNY,AUD,0.2573,-0.0886,0.1729
2026-03-08,combinator-standard,JPY,AUD,0.2566,-0.0886,0.1726
2026-03-08,combinator-standard,EUR,CHF,0.0605,-0.279,0.1698
2026-03-08,combinator-standard,EUR,MXN,0.0605,-0.2667,0.1636
2026-03-08,combinator-standard,EUR,SEK,0.0605,-0.2636,0.1621
2026-03-08,combinator-standard,USD,AUD,0.2125,-0.0886,0.1505
2026-03-08,combinator-standard,EUR,GBP,0.0605,-0.1591,0.1098
2026-03-08,combinator-standard,EUR,AUD,0.0605,-0.0886,0.0746
2026-03-08,haiku-only,JPY,SEK,0.4099,-0.3536,0.3818
2026-03-08,haiku-only,JPY,MXN,0.4099,-0.35,0.38
2026-03-08,haiku-only,CAD,SEK,0.398,-0.3536,0.3758
2026-03-08,haiku-only,CAD,MXN,0.398,-0.35,0.374
2026-03-08,haiku-only,JPY,CHF,0.4099,-0.3175,0.3637
2026-03-08,haiku-only,CAD,CHF,0.398,-0.3175,0.3578
2026-03-08,haiku-only,NOK,SEK,0.35,-0.3536,0.3518
2026-03-08,haiku-only,NOK,MXN,0.35,-0.35,0.35
2026-03-08,haiku-only,CNY,SEK,0.3404,-0.3536,0.347
2026-03-08,haiku-only,CNY,MXN,0.3404,-0.35,0.3452
2026-03-08,haiku-only,NOK,CHF,0.35,-0.3175,0.3337
2026-03-08,haiku-only,CNY,CHF,0.3404,-0.3175,0.3289
2026-03-08,haiku-only,USD,SEK,0.2977,-0.3536,0.3256
2026-03-08,haiku-only,USD,MXN,0.2977,-0.35,0.3238
2026-03-08,haiku-only,USD,CHF,0.2977,-0.3175,0.3076
2026-03-08,haiku-only,JPY,AUD,0.4099,-0.1682,0.289
2026-03-08,haiku-only,JPY,GBP,0.4099,-0.1591,0.2845
2026-03-08,haiku-only,CAD,AUD,0.398,-0.1682,0.2831
2026-03-08,haiku-only,CAD,GBP,0.398,-0.1591,0.2786
2026-03-08,haiku-only,NOK,AUD,0.35,-0.1682,0.2591
2026-03-08,haiku-only,NOK,GBP,0.35,-0.1591,0.2545
2026-03-08,haiku-only,CNY,AUD,0.3404,-0.1682,0.2543
2026-03-08,haiku-only,CNY,GBP,0.3404,-0.1591,0.2497
2026-03-08,haiku-only,USD,AUD,0.2977,-0.1682,0.2329
2026-03-08,haiku-only,USD,GBP,0.2977,-0.1591,0.2284
2026-03-08,haiku-only,EUR,SEK,0.0756,-0.3536,0.2146
2026-03-08,haiku-only,EUR,MXN,0.0756,-0.35,0.2128
2026-03-08,haiku-only,EUR,CHF,0.0756,-0.3175,0.1966
2026-03-08,haiku-only,EUR,AUD,0.0756,-0.1682,0.1219
2026-03-08,haiku-only,EUR,GBP,0.0756,-0.1591,0.1173
2026-03-09,combinator-standard,NOK,CHF,0.35,-0.279,0.3145
2026-03-09,combinator-standard,NOK,MXN,0.35,-0.2667,0.3083
2026-03-09,combinator-standard,NOK,SEK,0.35,-0.2636,0.3068
2026-03-09,combinator-standard,JPY,CHF,0.3118,-0.279,0.2954
2026-03-09,combinator-standard,JPY,MXN,0.3118,-0.2667,0.2892
2026-03-09,combinator-standard,JPY,SEK,0.3118,-0.2636,0.2877
2026-03-09,combinator-standard,CNY,CHF,0.2394,-0.279,0.2592
2026-03-09,combinator-standard,CNY,MXN,0.2394,-0.2667,0.253
2026-03-09,combinator-standard,CNY,SEK,0.2394,-0.2636,0.2515
2026-03-09,combinator-standard,USD,CHF,0.2165,-0.279,0.2478
2026-03-09,combinator-standard,CAD,CHF,0.2152,-0.279,0.2471
2026-03-09,combinator-standard,USD,MXN,0.2165,-0.2667,0.2416
2026-03-09,combinator-standard,CAD,MXN,0.2152,-0.2667,0.2409
2026-03-09,combinator-standard,USD,SEK,0.2165,-0.2636,0.2401
2026-03-09,combinator-standard,CAD,SEK,0.2152,-0.2636,0.2394
2026-03-09,combinator-standard,NOK,AUD,0.35,-0.0886,0.2193
2026-03-09,combinator-standard,JPY,AUD,0.3118,-0.0886,0.2002
2026-03-09,combinator-standard,NOK,GBP,0.35,-0.026,0.188
2026-03-09,combinator-standard,JPY,GBP,0.3118,-0.026,0.1689
2026-03-09,combinator-standard,CNY,AUD,0.2394,-0.0886,0.164
2026-03-09,combinator-standard,EUR,CHF,0.0316,-0.279,0.1553
2026-03-09,combinator-standard,USD,AUD,0.2165,-0.0886,0.1526
2026-03-09,combinator-standard,CAD,AUD,0.2152,-0.0886,0.1519
2026-03-09,combinator-standard,EUR,MXN,0.0316,-0.2667,0.1492
2026-03-09,combinator-standard,EUR,SEK,0.0316,-0.2636,0.1476
2026-03-09,combinator-standard,CNY,GBP,0.2394,-0.026,0.1327
2026-03-09,combinator-standard,USD,GBP,0.2165,-0.026,0.1213
2026-03-09,combinator-standard,CAD,GBP,0.2152,-0.026,0.1206
2026-03-09,combinator-standard,EUR,AUD,0.0316,-0.0886,0.0601
2026-03-09,combinator-standard,EUR,GBP,0.0316,-0.026,0.0288
2026-03-09,haiku-only,JPY,SEK,0.48,-0.3536,0.4168
2026-03-09,haiku-only,JPY,MXN,0.48,-0.35,0.415
2026-03-09,haiku-only,JPY,CHF,0.48,-0.3175,0.3987
2026-03-09,haiku-only,NOK,SEK,0.35,-0.3536,0.3518
2026-03-09,haiku-only,NOK,MXN,0.35,-0.35,0.35
2026-03-09,haiku-only,CNY,SEK,0.3168,-0.3536,0.3352
2026-03-09,haiku-only,NOK,CHF,0.35,-0.3175,0.3337
2026-03-09,haiku-only,CNY,MXN,0.3168,-0.35,0.3334
2026-03-09,haiku-only,USD,SEK,0.3018,-0.3536,0.3277
2026-03-09,haiku-only,USD,MXN,0.3018,-0.35,0.3259
2026-03-09,haiku-only,JPY,AUD,0.48,-0.1682,0.3241
2026-03-09,haiku-only,CNY,CHF,0.3168,-0.3175,0.3172
2026-03-09,haiku-only,CAD,SEK,0.2733,-0.3536,0.3135
2026-03-09,haiku-only,CAD,MXN,0.2733,-0.35,0.3116
2026-03-09,haiku-only,USD,CHF,0.3018,-0.3175,0.3096
2026-03-09,haiku-only,CAD,CHF,0.2733,-0.3175,0.2954
2026-03-09,haiku-only,NOK,AUD,0.35,-0.1682,0.2591
2026-03-09,haiku-only,JPY,GBP,0.48,-0.026,0.253
2026-03-09,haiku-only,CNY,AUD,0.3168,-0.1682,0.2425
2026-03-09,haiku-only,USD,AUD,0.3018,-0.1682,0.235
2026-03-09,haiku-only,CAD,AUD,0.2733,-0.1682,0.2208
2026-03-09,haiku-only,EUR,SEK,0.0376,-0.3536,0.1956
2026-03-09,haiku-only,EUR,MXN,0.0376,-0.35,0.1938
2026-03-09,haiku-only,NOK,GBP,0.35,-0.026,0.188
2026-03-09,haiku-only,EUR,CHF,0.0376,-0.3175,0.1776
2026-03-09,haiku-only,CNY,GBP,0.3168,-0.026,0.1714
2026-03-09,haiku-only,USD,GBP,0.3018,-0.026,0.1639
2026-03-09,haiku-only,CAD,GBP,0.2733,-0.026,0.1497
2026-03-09,haiku-only,EUR,AUD,0.0376,-0.1682,0.1029
2026-03-09,haiku-only,EUR,GBP,0.0376,-0.026,0.0318
2026-03-10,combinator-standard,JPY,MXN,0.2931,-0.2667,0.2799
2026-03-10,combinator-standard,JPY,SEK,0.2931,-0.2636,0.2783
2026-03-10,combinator-standard,JPY,CHF,0.2931,-0.2463,0.2697
2026-03-10,combinator-standard,USD,MXN,0.2431,-0.2667,0.2549
2026-03-10,combinator-standard,USD,SEK,0.2431,-0.2636,0.2534
2026-03-10,combinator-standard,NOK,MXN,0.2339,-0.2667,0.2503
2026-03-10,combinator-standard,NOK,SEK,0.2339,-0.2636,0.2488
2026-03-10,combinator-standard,CNY,MXN,0.2283,-0.2667,0.2475
2026-03-10,combinator-standard,CNY,SEK,0.2283,-0.2636,0.246
2026-03-10,combinator-standard,USD,CHF,0.2431,-0.2463,0.2447
2026-03-10,combinator-standard,NOK,CHF,0.2339,-0.2463,0.2401
2026-03-10,combinator-standard,CNY,CHF,0.2283,-0.2463,0.2373
2026-03-10,combinator-standard,CAD,MXN,0.1416,-0.2667,0.2041
2026-03-10,combinator-standard,CAD,SEK,0.1416,-0.2636,0.2026
2026-03-10,combinator-standard,CAD,CHF,0.1416,-0.2463,0.1939
2026-03-10,combinator-standard,JPY,AUD,0.2931,-0.0494,0.1712
2026-03-10,combinator-standard,JPY,GBP,0.2931,-0.026,0.1595
2026-03-10,combinator-standard,JPY,EUR,0.2931,-0.0158,0.1544
2026-03-10,combinator-standard,USD,AUD,0.2431,-0.0494,0.1462
2026-03-10,combinator-standard,NOK,AUD,0.2339,-0.0494,0.1417
2026-03-10,combinator-standard,CNY,AUD,0.2283,-0.0494,0.1389
2026-03-10,combinator-standard,USD,GBP,0.2431,-0.026,0.1345
2026-03-10,combinator-standard,NOK,GBP,0.2339,-0.026,0.13
2026-03-10,combinator-standard,USD,EUR,0.2431,-0.0158,0.1294
2026-03-10,combinator-standard,CNY,GBP,0.2283,-0.026,0.1272
2026-03-10,combinator-standard,NOK,EUR,0.2339,-0.0158,0.1249
2026-03-10,combinator-standard,CNY,EUR,0.2283,-0.0158,0.1221
2026-03-10,combinator-standard,CAD,AUD,0.1416,-0.0494,0.0955
2026-03-10,combinator-standard,CAD,GBP,0.1416,-0.026,0.0838
2026-03-10,combinator-standard,CAD,EUR,0.1416,-0.0158,0.0787
2026-03-10,haiku-only,JPY,SEK,0.4367,-0.3536,0.3952
2026-03-10,haiku-only,JPY,MXN,0.4367,-0.35,0.3933
2026-03-10,haiku-only,JPY,CHF,0.4367,-0.2944,0.3655
2026-03-10,haiku-only,NOK,SEK,0.3359,-0.3536,0.3448
2026-03-10,haiku-only,NOK,MXN,0.3359,-0.35,0.3429
2026-03-10,haiku-only,USD,SEK,0.3255,-0.3536,0.3396
2026-03-10,haiku-only,USD,MXN,0.3255,-0.35,0.3377
2026-03-10,haiku-only,CNY,SEK,0.2929,-0.3536,0.3233
2026-03-10,haiku-only,CNY,MXN,0.2929,-0.35,0.3215
2026-03-10,haiku-only,NOK,CHF,0.3359,-0.2944,0.3151
2026-03-10,haiku-only,USD,CHF,0.3255,-0.2944,0.31
2026-03-10,haiku-only,CNY,CHF,0.2929,-0.2944,0.2936
2026-03-10,haiku-only,JPY,AUD,0.4367,-0.1047,0.2707
2026-03-10,haiku-only,CAD,SEK,0.1629,-0.3536,0.2582
2026-03-10,haiku-only,CAD,MXN,0.1629,-0.35,0.2564
2026-03-10,haiku-only,JPY,GBP,0.4367,-0.026,0.2314
2026-03-10,haiku-only,CAD,CHF,0.1629,-0.2944,0.2286
2026-03-10,haiku-only,NOK,AUD,0.3359,-0.1047,0.2203
2026-03-10,haiku-only,USD,AUD,0.3255,-0.1047,0.2151
2026-03-10,haiku-only,CNY,AUD,0.2929,-0.1047,0.1988
2026-03-10,haiku-only,NOK,GBP,0.3359,-0.026,0.1809
2026-03-10,haiku-only,USD,GBP,0.3255,-0.026,0.1758
2026-03-10,haiku-only,CNY,GBP,0.2929,-0.026,0.1595
2026-03-10,haiku-only,CAD,AUD,0.1629,-0.1047,0.1338
2026-03-10,haiku-only,CAD,GBP,0.1629,-0.026,0.0944
2026-03-11,combinator-standard,AUD,MXN,0.375,-0.2667,0.3208
2026-03-11,combinator-standard,AUD,SEK,0.375,-0.2636,0.3193
2026-03-11,combinator-standard,AUD,CHF,0.375,-0.2463,0.3106
2026-03-11,combinator-standard,NOK,MXN,0.35,-0.2667,0.3083
2026-03-11,combinator-standard,NOK,SEK,0.35,-0.2636,0.3068
2026-03-11,combinator-standard,NOK,CHF,0.35,-0.2463,0.2981
2026-03-11,combinator-standard,USD,MXN,0.2673,-0.2667,0.267
2026-03-11,combinator-standard,USD,SEK,0.2673,-0.2636,0.2655
2026-03-11,combinator-standard,USD,CHF,0.2673,-0.2463,0.2568
2026-03-11,combinator-standard,CNY,MXN,0.2389,-0.2667,0.2528
2026-03-11,combinator-standard,CNY,SEK,0.2389,-0.2636,0.2513
2026-03-11,combinator-standard,CNY,CHF,0.2389,-0.2463,0.2426
2026-03-11,combinator-standard,GBP,MXN,0.2157,-0.2667,0.2412
2026-03-11,combinator-standard,GBP,SEK,0.2157,-0.2636,0.2397
2026-03-11,combinator-standard,GBP,CHF,0.2157,-0.2463,0.231
2026-03-11,combinator-standard,AUD,JPY,0.375,-0.05,0.2125
2026-03-11,combinator-standard,CAD,MXN,0.1416,-0.2667,0.2041
2026-03-11,combinator-standard,CAD,SEK,0.1416,-0.2636,0.2026
2026-03-11,combinator-standard,NOK,JPY,0.35,-0.05,0.2
2026-03-11,combinator-standard,AUD,EUR,0.375,-0.0189,0.197
2026-03-11,combinator-standard,CAD,CHF,0.1416,-0.2463,0.1939
2026-03-11,combinator-standard,NOK,EUR,0.35,-0.0189,0.1845
2026-03-11,combinator-standard,USD,JPY,0.2673,-0.05,0.1587
2026-03-11,combinator-standard,CNY,JPY,0.2389,-0.05,0.1445
2026-03-11,combinator-standard,USD,EUR,0.2673,-0.0189,0.1431
2026-03-11,combinator-standard,GBP,JPY,0.2157,-0.05,0.1328
2026-03-11,combinator-standard,CNY,EUR,0.2389,-0.0189,0.1289
2026-03-11,combinator-standard,GBP,EUR,0.2157,-0.0189,0.1173
2026-03-11,combinator-standard,CAD,JPY,0.1416,-0.05,0.0958
2026-03-11,combinator-standard,CAD,EUR,0.1416,-0.0189,0.0802
2026-03-11,haiku-only,AUD,SEK,0.505,-0.3536,0.4293
2026-03-11,haiku-only,AUD,MXN,0.505,-0.35,0.4275
2026-03-11,haiku-only,AUD,CHF,0.505,-0.2944,0.3997
2026-03-11,haiku-only,USD,SEK,0.3639,-0.3536,0.3588
2026-03-11,haiku-only,USD,MXN,0.3639,-0.35,0.3569
2026-03-11,haiku-only,NOK,SEK,0.35,-0.3536,0.3518
2026-03-11,haiku-only,NOK,MXN,0.35,-0.35,0.35
2026-03-11,haiku-only,CNY,SEK,0.3084,-0.3536,0.331
