date,strategy_id,eur_value,usd_value,gbp_value,jpy_value,chf_value,aud_value,cad_value,nok_value,sek_value,cny_value,mxn_value,eur_pct_change,usd_pct_change,gbp_pct_change,jpy_pct_change,chf_pct_change,aud_pct_change,cad_pct_change,nok_pct_change,sek_pct_change,cny_pct_change,mxn_pct_change,avg_pct_change,value
2026-02-26,momentum-T2-size25,1099.9964704907,1300.1367580883,958.6759736269,202721.5936953541,1003.2649382719998,1825.9705821881998,1777.0616724364,12408.5273697589,11727.607996797498,8900.1752193024,22327.395734150297,-0.10903305198554424,0.1646019466756067,-0.2019748603490996,0.39013822163252715,-0.030342788337669926,-0.3190985120462001,-0.00803695609883195,0.11521463374089758,0.05606120482625347,-0.22274577772362938,0.15735635754785057,-0.0007145074652581584,0.9998984747123264
2026-02-26,momentum-T2-size50,1099.8361194263,1299.9473333395,958.5363330176,202692.05548839888,1003.118817846,1825.7045329180999,1776.8027913613,12406.719316683098,11725.8991388642,8898.8783362323,22324.142395291896,-0.108146907881284,0.16549990621198615,-0.2010726355959893,0.39103729655569025,-0.02944148867250348,-0.3182052674918038,-0.007139190784331259,0.11611135132100672,0.05695677728280163,-0.2218523492491662,0.15825310283500174,0.00018187223012804249,0.9998162342993011
2026-02-26,momentum-T4-size5,1100.1045302375,1300.2643542298,958.7700585638,202741.4997149204,1003.3633966957998,1826.1498367568,1777.2361245997,12409.7458783841,11728.7596406596,8901.0491453422,22329.5881611442,-0.10931935841463516,0.16429871997480483,-0.20227700344037464,0.38984161902745523,-0.030646418370131854,-0.31939218671107844,-0.00833502396752364,0.1149188663354619,0.05576615718742802,-0.22304092976959083,0.15706064779379475,-0.0010113554867627126,0.9999540546946364
2026-02-26,momentum-T4-size10,1100.0215376557,1300.1662582932,958.6977673185,202726.2118425592,1003.2877581506999,1826.0121038794998,1777.1021275695998,12408.8101424087,11727.875229552,8900.3778753789,22327.9043297314,-0.1106350440575021,0.16297458153736677,-0.20358783422042667,0.38852050910338704,-0.03196290577672721,-0.3207024482645308,-0.009650752488660132,0.11360146169658161,0.05444939569045074,-0.22435457019491128,0.15574250915433033,-0.0023277361655128855,0.9999023966887074
2026-02-26,momentum-T4-size25,1099.7986269399998,1299.9027806273998,958.5036029106999,202685.15052172737,1003.0846034325999,1825.6421667191998,1776.7422280250003,12406.2968758618,11725.499814084798,8898.5749238938,22323.381767575196,-0.11334023664361818,0.16024863635907763,-0.20628033377111712,0.38580495970357015,-0.03466960381888379,-0.32339481899886513,-0.012355222611603543,0.11089361471448336,0.05174277220433837,-0.22705515129564016,0.15303300825187982,-0.005033852355125329,0.9997690903782854
2026-02-26,momentum-T4-size50,1099.5040095897,1299.5545465213,958.2469896872999,202630.88206496468,1002.8161082745999,1825.1532312269,1776.2665684218,12402.975241429998,11722.3603669138,8896.1920539509,22317.4045489489,-0.11432969287847174,0.15923822733274723,-0.20725402783069047,0.38481504838921926,-0.035658803319562594,-0.32437274655879567,-0.013340982422365222,0.10990685976079069,0.050756056956610736,-0.2280411523954843,0.1520450617288101,-0.006021468294290178,0.999610263392194
2026-02-26,momentum-T6-size5,1100.0774895292,1300.2323976097,958.7464865277,202736.51606372104,1003.3387318371,1826.1049513986,1777.192442049,12409.440825876902,11728.4713249692,8900.8303468275,22329.0392654208,-0.10972115772198239,0.16389598099062863,-0.20267859924014042,0.38943820842140847,-0.031048296049397,-0.3197923271901809,-0.008736626741796854,0.11451653021466339,0.05536401067469345,-0.22344185195704588,0.15665817788925246,-0.0014132682463542758,0.9999392163867552
2026-02-26,momentum-T6-size10,1099.9703163591,1300.1057253506,958.6531163317999,202716.77167230038,1003.2410372196998,1825.9270808847,1777.0193829785999,12408.232303167499,11727.3290936794,8899.9634213252,22326.864595987197,-0.11125994836737489,0.16234826917727174,-0.2042124807436132,0.38789326035056815,-0.032587833498013745,-0.32132445737012916,-0.010275114234027004,0.1129758710072621,0.05382408282617637,-0.22497793826780083,0.15511672533229207,-0.0029526876170353085,0.9998750391614483
2026-02-26,momentum-T6-size25,1099.6876666875,1299.771649861,958.4068753270999,202664.700438784,1002.9833922570999,1825.4579831278,1776.5629802166,12405.0451105635,11724.316727634601,8897.6771000194,22321.1294084926,-0.11387587241486971,0.15971217144240574,-0.2068161645055578,0.3852684871579733,-0.03520454050708583,-0.3239257043391161,-0.012888679789285477,0.11035846865470196,0.051207742825345126,-0.22758821999986412,0.1524978050517232,-0.0055685914930572455,0.9997143932130722
2026-02-26,momentum-T6-size50,1099.3273162883997,1299.3457374942,958.092959555,202598.317607106,1002.6549398419999,1824.8599400483,1775.9811375923998,12400.981941019298,11720.476430896098,8894.7623733382,22313.817917066,-0.11290509568323097,0.16066769421648083,-0.20583182324268273,0.3862501243404489,-0.03423098250650368,-0.3229448626764652,-0.011910117532764322,0.11133774211969938,0.05218577689722478,-0.22661458165220896,0.1534768573049233,-0.004592660765007152,0.9995360699562132
2026-02-27,momentum-T1-size5,1100.3379630219,1298.1359006896,962.6248739522,202267.53811614562,1004.0972005253001,1824.5076132593,1774.9777268653004,12403.113081379399,11756.0405793504,8904.7502158364,22321.833423585103,0.015100559369964198,-0.16980257119450073,0.39591910449927986,-0.23987664890883104,0.06701660972402855,-0.09603913709320987,-0.13317986688698819,-0.059559370818031004,0.22646991003847078,0.03546213240998181,-0.04084125511017959,6.086054818043635e-05,0.9999998614020454
2026-02-27,momentum-T1-size10,1100.3194986517,1298.1141132058,962.6087160548002,202264.1453585347,1004.0803736068,1824.4769975846998,1774.9479442637003,12402.905033716801,11755.843394305,8904.600839372999,22321.4589786421,0.0152317027604023,-0.1696731075433854,0.396048658853818,-0.23974610704983706,0.06714823663420104,-0.09590914507590872,-0.13305014424636563,-0.05942858100401088,0.22660117356404888,0.03559298757389622,-0.04071054526084125,0.00019137538236522843,0.9999911003415553
2026-02-27,momentum-T1-size25,1100.2676992247,1298.0529919877,962.5633871194001,202254.62758012093,1004.0331701067,1824.3911105557004,1774.8643947002001,12402.321392498001,11755.2902258244,8904.1817897939,22320.4085391937,0.01581579052824594,-0.16909422641201904,0.39662885800184405,-0.23916432161401285,0.06773375866673034,-0.09532858795426034,-0.1324704575264311,-0.05884571359915758,0.22718598739164259,0.03617625073594216,-0.040127860378627506,0.0007735888945360606,0.9999683358615085
