date,base_currency,EUR,USD,GBP,JPY,CHF,AUD,CAD,NOK,SEK,CNY,MXN
2026-03-12,MXN,0.048796,0.056281,0.0421,8.95341,0.044019,0.078886,0.076469,0.544362,0.521619,0.387147,1.0
2026-03-13,EUR,1.0,1.151837,0.862302,183.509595,0.905291,1.625554,1.570054,11.174118,10.766373,7.929076,20.512664
2026-03-13,USD,0.868178,1.0,0.748632,159.319077,0.785954,1.411271,1.363087,9.701129,9.347133,6.883853,17.808653
2026-03-13,GBP,1.159687,1.33577,1.0,212.813635,1.049854,1.885134,1.820771,12.958476,12.48562,9.195244,23.788263
2026-03-13,JPY,0.005449,0.006277,0.004699,1.0,0.004933,0.008858,0.008556,0.060891,0.058669,0.043208,0.11178
2026-03-13,CHF,1.104617,1.272339,0.952513,202.707844,1.0,1.795615,1.734309,12.343123,11.89272,8.758593,22.65864
2026-03-13,AUD,0.615175,0.708581,0.530466,112.890466,0.556912,1.0,0.965858,6.874035,6.623201,4.877767,12.618872
2026-03-13,CAD,0.636921,0.733629,0.549218,116.881075,0.576599,1.035349,1.0,7.117028,6.857327,5.050193,13.064942
2026-03-13,NOK,0.089493,0.103081,0.07717,16.422736,0.081017,0.145475,0.140508,1.0,0.96351,0.709593,1.83573
2026-03-13,SEK,0.092882,0.106985,0.080092,17.0447,0.084085,0.150984,0.145829,1.037872,1.0,0.736467,1.905253
2026-03-13,CNY,0.126118,0.145267,0.108752,23.143881,0.114174,0.205012,0.198012,1.409259,1.357835,1.0,2.587018
2026-03-13,MXN,0.04875,0.056152,0.042038,8.946161,0.044133,0.079246,0.076541,0.544742,0.524865,0.386545,1.0
2026-03-14,EUR,1.0,1.145178,0.865396,182.920886,0.909698,1.643593,1.571324,11.186944,10.856794,7.897417,20.55875
2026-03-14,USD,0.873227,1.0,0.755687,159.731408,0.794373,1.435229,1.372122,9.768739,9.480443,6.896236,17.95245
2026-03-14,GBP,1.15554,1.323299,1.0,211.372356,1.051193,1.899237,1.815727,12.926959,12.545457,9.125779,23.756452
2026-03-14,JPY,0.005467,0.006261,0.004731,1.0,0.004973,0.008985,0.00859,0.061157,0.059352,0.043174,0.112391
2026-03-14,CHF,1.099265,1.258855,0.9513,201.078604,1.0,1.806745,1.727302,12.297421,11.934498,8.681357,22.599522
2026-03-14,AUD,0.608423,0.696753,0.526527,111.293293,0.553482,1.0,0.95603,6.806395,6.605524,4.804971,12.508418
2026-03-14,CAD,0.636406,0.728798,0.550744,116.411982,0.578938,1.045993,1.0,7.119441,6.909331,5.025965,13.083715
2026-03-14,NOK,0.08939,0.102367,0.077358,16.351282,0.081318,0.146921,0.14046,1.0,0.970488,0.705949,1.837745
2026-03-14,SEK,0.092108,0.10548,0.07971,16.848518,0.083791,0.151388,0.144732,1.03041,1.0,0.727417,1.89363
2026-03-14,CNY,0.126624,0.145007,0.10958,23.162116,0.115189,0.208118,0.198967,1.416532,1.374727,1.0,2.603225
2026-03-14,MXN,0.048641,0.055703,0.042094,8.897471,0.044249,0.079946,0.076431,0.544145,0.528086,0.384139,1.0
