date,strategy_id,trader_id,trades_executed,eur_acc_val,usd_acc_val,gbp_acc_val,jpy_acc_val,chf_acc_val,aud_acc_val,cad_acc_val,nok_acc_val,sek_acc_val,cny_acc_val,mxn_acc_val
2026-03-20,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,4843.0125,34.0632,327.5785,180.8187,2012.9153,15.1244,1463.8846,1042.1802
2026-03-21,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,16973.0135,84.7783,173.5734,163.8444,1326.4871,965.9357,861.8409,1911.9644
2026-03-21,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,15751.4595,78.5899,180.3442,166.1144,1511.8121,872.3662,907.0973,1796.4988
2026-03-21,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,12475.3758,62.1549,200.2232,172.1652,1990.3449,637.7991,1021.6081,1481.2817
2026-03-21,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,8185.7934,40.9375,231.9103,179.8796,2570.7007,368.302,1152.5429,1050.2667
2026-03-21,momentum-T2-size5,combinator-standard,2,99.9798,123.2132,82.9341,16392.1844,79.087,183.3615,167.0594,1399.1379,884.4265,907.3322,1846.7111
2026-03-21,momentum-T2-size10,combinator-standard,2,99.7952,128.0264,78.7161,14622.7415,68.3404,198.4031,170.9911,1648.1163,730.3771,993.0159,1676.1053
2026-03-21,momentum-T2-size25,combinator-standard,2,98.3643,139.6936,66.9247,10068.8241,43.5698,235.6218,174.9932,2275.1312,404.8371,1202.6019,1243.4464
2026-03-21,momentum-T2-size50,combinator-standard,2,93.6394,152.8176,49.9949,4994.7433,19.6968,278.9178,165.7273,3023.0374,142.8701,1425.4384,729.6587
2026-03-21,momentum-T4-size5,combinator-standard,4,99.9798,134.1583,80.7894,15382.1362,68.0342,194.8834,171.1856,1503.163,763.4511,963.9478,1756.7673
2026-03-21,momentum-T4-size10,combinator-standard,4,99.7952,146.7938,74.5906,12693.6961,50.6194,217.7662,175.2231,1818.7752,543.205,1098.1087,1523.4687
2026-03-21,momentum-T4-size25,combinator-standard,4,98.3643,167.9301,57.8606,6648.7541,20.789,264.5119,167.6646,2502.7291,190.2946,1417.7569,1011.4368
2026-03-21,momentum-T4-size50,combinator-standard,4,93.6394,172.7534,36.0441,2010.2536,4.7646,304.5588,133.0993,3167.0077,29.94,1762.9733,551.8268
2026-03-21,momentum-T6-size5,combinator-standard,6,98.8342,141.5791,78.4701,14496.7115,64.951,203.0495,172.7717,1616.1305,637.5107,1004.0495,1673.38
2026-03-21,momentum-T6-size10,combinator-standard,6,97.2112,158.4033,70.3208,11108.096,46.5199,231.217,173.9274,1998.2835,377.9102,1165.32,1393.1986
2026-03-21,momentum-T6-size25,combinator-standard,6,90.3466,181.2828,49.685,4493.4853,18.1795,285.928,149.6854,2761.93,75.4746,1521.7106,857.6562
2026-03-21,momentum-T6-size50,combinator-standard,6,75.5078,179.5617,26.1753,847.2366,5.0607,333.7944,95.4278,3475.8043,4.4193,1864.3015,483.1471
2026-03-21,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,14196.8196,74.8053,221.2422,178.9039,1517.2903,419.8145,1039.2708,1754.4792
2026-03-21,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,9578.472,58.8665,261.0942,184.9735,1806.2675,152.8176,1219.3299,1496.5505
2026-03-21,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,6039.6607,45.2232,295.5774,184.5062,1982.9555,50.7915,1358.9578,1259.1175
2026-03-21,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,3658.2179,34.0632,327.5785,180.8187,2083.5616,15.1244,1463.8846,1042.1802
2026-03-22,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,16713.4961,84.7783,173.5734,163.8444,1341.9584,965.9357,861.8409,1911.9644
2026-03-22,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,15269.7799,78.5899,180.3442,166.1144,1540.5277,872.3662,907.0973,1796.4988
2026-03-22,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,11521.6333,62.1549,200.2232,172.1652,2047.2028,637.7991,1021.6081,1481.2817
2026-03-22,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,6934.1856,40.9375,231.9103,179.8796,2645.316,368.302,1152.5429,1050.2667
2026-03-22,momentum-T2-size5,combinator-standard,2,99.9798,123.2132,82.9341,15954.5481,79.087,183.3615,167.0594,1414.0797,884.4265,907.3322,1867.5768
2026-03-22,momentum-T2-size10,combinator-standard,2,99.7952,128.0264,78.7161,13847.13,68.3404,198.4031,170.9911,1674.7742,730.3771,993.0159,1712.7539
2026-03-22,momentum-T2-size25,combinator-standard,2,98.3643,139.6936,66.9247,8760.4143,43.5698,235.6218,174.9932,2321.021,404.8371,1202.6019,1303.5494
2026-03-22,momentum-T2-size50,combinator-standard,2,93.6394,152.8176,49.9949,3740.8802,19.6968,278.9178,165.7273,3068.5656,142.8701,1425.4384,784.3521
2026-03-22,momentum-T4-size5,combinator-standard,4,100.7428,134.1583,80.7894,14671.1587,68.0342,196.2884,171.1856,1517.1842,763.4511,963.9478,1776.3473
